184db97c abrefine
7f46abfd ci/local-run-attestation
43d5b9a6 cleanup/docs-triage
c579b033 cleanup/remove-grpc
ea189585 deploy/variant-peephole
92c4cb85 distill-seg1-5
b28ffca0 docs/measured-rollup-gap
ca4983c1 feat/dedup-as-you-compact
6f562437 feat/slice-coverage-certification
38243755 feat/tier1-14d-30d
65d68eb5 fix-wave-discard
5f9b15f0 fix/count-dedup-and-rollup-overcount
08d66598 fix/dml-bounded-key-pushdown
a86f6599 fix/precise-restart-reconcile
84a7d70d fix/rollup-miss-sampler-per-reason
99cd9721 fix/rollup-split-uncovered-projects
66f4f2b5 fix/split-inherits-backfill-priority
498a2733 fix/tantivy-reconcile-progress-logging
cc09f211 fix/tier-merge-slice-set
871d9f20 fix/variant-path-cast
e5d7bbc4 hold/schema-evolution
5dbe7731 integration-2026-08-25
9fb61565 lever2diag2
910ed75a master
b0a4e8b6 next/cert
b0a4e8b6 next/e2eflake
f7be1f74 next/prune
2e45a8cf next/sortmark
f1b3113e next/zstd
b376eda9 p0a-dedup-sort-ladder
be51d46d port/rollup-dedup-fixes
a6bffbd6 resume-behaviour-test
49bf7f90 resume-process-identity
56c30dfd simnew
2fa2e989 simtest
5fcb0068 tantivy-cache-gc
a57dc79e tier1-14d-30d-complete
077f5632 wip/revert-and-fixture
cdadf40b work/distill-storage
665b2fc6 worktree-agent-a0a41a6018f18f7dc
6b6c9fad worktree-agent-a11cfcf00f1c3b9b4
68191072 worktree-agent-a183d83cdeaaa461a
bf831539 worktree-agent-a4dd3af67abdf7806
b2a6347d worktree-agent-a64f162315f00b144
c7545a62 worktree-agent-a73bca5d623a0f0f6
564e159d worktree-agent-a860ca57ad5e1a0f1
2933f1a5 worktree-agent-a8f3add1ce5c63cca
95f0638c worktree-agent-a984cc9333b5af8db
acb39f66 worktree-agent-aabf8206d559308a6
1e59b97a worktree-agent-abb5ab3fdbdf774c8
4d123af3 worktree-agent-acca22f312b4c3f89
8ed004ff worktree-agent-ad4d7d4bd567657de
9700d050 worktree-agent-addf7c8a238435a91
784a7de8 worktree-agent-ae64dc924b98c4437
f09847ca worktree-p0-cert-tantivy
576e8a81 worktree-trace-pruning
