ts,load1,dns,tcp,connect,query,reuse,runtime.uptime_seconds,runtime.scheduling_lag_ms,runtime.scheduling_lag_max_ms,block.journal_lock_wait.max_ms,block.journal_hold.max_ms,block.journal_hold.total_ms,section.delta_snapshot_refresh.avg_us,section.delta_snapshot_refresh.max_ms,section.delta_snapshot_refresh.count,mem_buffer.total_rows,mem_buffer.estimated_bytes_approx,mem_buffer.total_buckets,plan_cache.hits,plan_cache.misses,memory.charged_bytes,scan.provider_cache_entries,scan.fast_resolve_cache_entries,pgwire.queries_total,maintenance.tasks_pending,maintenance.tasks_running
1787570300,27.51,1.1,85.0,2147.0,1269.0,749.2,,,,,,,,,,246654,819670907,34,22463,10,13711392768,19,110,22657,5877,15
1787570922,28.92,5.9,111.2,4171.1,2495.0,1337.6,,,,,,,,,,297641,967783647,35,29535,10,17145217024,28,115,29806,5825,16
1787572257,26.59,1.3,87.9,468.7,238.9,207.3,184,1,2764,0,22,5718,53510,253,14,269233,3721823628,51,1827,3,32427200512,8,21,1860,5739,0
1787572800,37.17,1.7,78.5,1433.2,809.8,353.5,722,0,6579,344,1180,46752,67763,371,148,277863,964481519,38,7561,10,47556501504,28,94,7656,5753,16
1787574623,28.38,1.4,123.5,1420.1,450.0,198.4,184,0,8177,0,42,7079,74354,293,34,342594,2550853074,63,1833,9,22483980288,13,95,1869,5858,0
1787575133,31.95,2.9,61.1,298.0,139.8,68.6,677,0,8177,298,702,45401,71259,627,126,506451,1614626838,49,6025,12,26559139840,22,112,6108,5937,16
1787575443,25.10,3.4,65.1,263.0,120.1,66.8,982,1,8177,298,702,53771,67708,627,171,706155,2268602157,68,8314,14,29660160000,30,112,8424,5937,16
1787575748,19.54,2.6,73.1,408.9,137.6,74.6,117,0,6110,0,5,3611,47128,243,14,377113,1344511086,32,1165,6,17136181248,9,21,1192,5868,0
1787576073,30.02,1.3,86.0,506.0,254.6,93.6,435,0,13542,330,330,22162,59876,333,90,716591,2336625380,37,3872,6,37930790912,13,40,3935,5872,16
1787576392,29.97,1.2,61.6,298.0,140.5,73.2,742,211,13542,485,507,43597,67862,562,136,284771,940341039,38,6483,7,48439095296,23,45,6575,5864,16
1787576699,31.91,3.5,62.3,299.1,154.8,66.2,1048,0,13542,485,583,61566,74688,562,194,374750,1265102019,48,9033,7,33370783744,20,55,9145,6107,16
1787577005,28.87,2.4,62.7,272.8,127.1,61.4,1357,0,13542,485,583,75957,81128,766,248,731763,2439556223,51,11701,10,23659982848,19,56,11835,6092,16
1787577313,20.68,1.1,66.2,270.4,131.6,73.7,170,0,2449,0,6,5534,107062,334,16,282068,1482257800,64,1799,3,18873405440,10,35,1826,6012,0
1787577619,41.31,1.6,86.4,2959.6,1019.4,680.3,505,1,2449,529,615,31813,175138,8754,93,860810,2821725398,72,4756,10,30290681856,17,50,4802,6051,16
1787577954,33.81,1.4,64.8,252.5,130.3,70.5,810,0,2449,1186,1186,54825,144271,8754,133,1255956,4052449574,55,6919,10,53155409920,10,54,6955,5977,16
1787578259,29.23,1.0,68.7,279.6,137.6,66.8,194,1,2209,0,20,6310,118096,380,28,242907,1707677958,58,1797,3,21394669568,11,36,1831,5966,0
1787578565,49.45,4.3,103.2,3674.8,2499.7,1249.3,544,1,2209,474,531,33499,103433,633,121,585489,1884931901,35,5270,10,33900298240,17,53,5313,5951,16
1787578916,39.21,1.1,63.7,257.8,149.6,63.6,850,1,2209,474,642,49709,116147,633,165,214337,982450390,62,8050,10,28663496704,17,54,8121,5981,16
1787579221,29.94,1.4,92.5,615.8,189.7,78.9,154,24,144,0,15,5304,54692,158,19,280843,1341955428,65,1832,3,18282868736,10,35,1863,5949,0
