ts,load1,dns,tcp,connect,query,reuse,runtime.uptime_seconds,runtime.scheduling_lag_ms,runtime.scheduling_lag_max_ms,block.journal_lock_wait.max_ms,block.journal_hold.max_ms,block.journal_hold.total_ms,section.delta_snapshot_refresh.avg_us,section.delta_snapshot_refresh.max_ms,section.delta_snapshot_refresh.count,buffered_layer.flush_completed_total,buffered_layer.flush_failed_total,buffered_layer.pressure_pct,mem_buffer.total_rows,mem_buffer.estimated_bytes_approx,mem_buffer.total_buckets,plan_cache.hits,plan_cache.misses,memory.charged_bytes,scan.provider_cache_entries,scan.fast_resolve_cache_entries,pgwire.queries_total,maintenance.tasks_pending,maintenance.tasks_running
1787579354,25.51,4.9,69.4,396.9,152.5,90.7,280,0,144,0,15,9152,76765,735,32,0,0,9,403744,1774627179,66,3154,10,15738916864,11,35,3216,5949,0
1787579662,23.42,1.4,69.3,356.1,153.0,85.2,152,1,1208,0,20,5694,150398,744,20,0,0,8,218031,1619853121,32,2054,5,19077025792,11,24,2088,5918,0
1787579969,33.16,1.3,84.4,344.4,141.2,70.5,462,1,1208,356,391,29549,86115,744,81,30,0,5,304786,1061294239,31,5855,7,30627364864,12,34,5912,5977,16
1787580279,39.40,1.7,93.0,412.2,225.6,89.0,770,1,1208,711,770,46993,86074,744,139,61,0,5,312921,1069770608,31,9410,9,50619457536,14,44,9469,6150,16
1787580391,40.21,1.9,68.1,427.7,186.8,79.8,885,0,1208,711,770,60059,90193,819,167,92,0,0,5955,26552310,28,9662,9,38005063680,13,51,9736,6196,16
1787580582,30.98,1.7,68.4,383.7,161.6,72.8,1072,0,1208,711,770,72248,88691,819,183,102,0,5,319007,1033670482,33,12153,13,25366568960,23,51,12270,6209,16
1787580769,44.67,1.4,90.2,386.3,177.0,83.1,1260,1,1208,711,770,83867,83571,819,225,122,0,2,131961,467392756,35,13769,14,31405494272,29,57,13908,6164,16
1787580956,33.37,2.1,65.2,339.3,162.0,71.0,1446,0,1811,711,770,100366,83568,819,259,135,0,6,369043,1247570174,53,15757,14,12982034432,30,58,15934,6172,16
1787581143,34.09,2.6,59.4,344.3,166.7,65.6,1633,251,1811,711,770,110350,81846,819,280,157,0,4,265463,904886400,43,18050,15,19622940672,26,59,18243,6105,16
1787581330,37.56,1.1,64.1,281.2,146.3,82.4,1819,1,1825,711,837,126444,80500,819,321,191,0,2,137514,493519101,35,20273,17,17367543808,23,61,20498,6144,16
1787581516,29.09,1.3,68.6,500.0,150.8,71.5,2008,1,1825,711,837,136630,81293,868,340,194,0,6,331834,1147625583,58,22440,18,15183368192,28,62,22667,6134,16
