ts,load1,kcompactd_cpu,swap_free_mb,iowait_pct,dns,tcp,connect,query,reuse,runtime.uptime_seconds,runtime.scheduling_lag_ms,runtime.scheduling_lag_max_ms,block.journal_lock_wait.max_ms,block.journal_hold.max_ms,block.journal_hold.total_ms,section.delta_snapshot_refresh.avg_us,section.delta_snapshot_refresh.max_ms,section.delta_snapshot_refresh.count,buffered_layer.flush_completed_total,buffered_layer.flush_failed_total,buffered_layer.pressure_pct,mem_buffer.total_rows,mem_buffer.estimated_bytes_approx,mem_buffer.total_buckets,plan_cache.hits,plan_cache.misses,memory.charged_bytes,scan.provider_cache_entries,scan.fast_resolve_cache_entries,pgwire.queries_total,maintenance.tasks_pending,maintenance.tasks_running
1787589758,32.86,0,0,0.6,3.2,70.7,4460.0,2127.9,807.3,8052,1,2862,2031,2380,651238,110842,36933,1509,976,0,4,230675,824052150,54,87462,28,13466386432,33,70,88542,6164,16
1787589989,27.93,0,0,12.0,2.9,84.5,1227.2,536.6,459.5,8276,0,2862,2031,2380,666077,109700,36933,1542,1006,0,2,132863,466960733,53,90115,29,26165448704,35,70,91212,6175,15
1787590817,24.57,0,0,2.5,1.8,74.5,534.4,160.7,144.2,9079,0,2862,2031,2380,724108,114727,36933,1774,1114,0,6,370093,1289264372,54,99550,32,14295875584,26,70,100669,6345,16
1787590840,24.72,0,0,0.2,3.0,61.5,301.1,200.6,82.2,9098,0,2862,2031,2380,724806,114253,36933,1783,1114,0,7,386374,1355415559,55,99779,32,13255741440,26,70,100921,6358,16
1787591008,33.37,0,0,11.2,2.8,68.7,306.9,131.2,67.7,9265,1,2862,2031,2380,735556,113770,36933,1808,1137,0,4,244330,885949707,41,101806,33,30167314432,19,70,102952,6321,14
1787591194,42.01,0,0,0.4,3.1,70.2,404.4,176.6,71.9,9452,1,2862,2031,2380,777501,111492,36933,1907,1170,0,2,109034,376603380,32,103164,33,35692285952,17,70,104353,6300,16
1787591382,27.98,0,0,0.3,2.8,63.2,343.3,160.0,80.0,9639,0,2862,2031,2380,794180,110955,36933,1932,1172,0,5,313522,1091245626,39,105432,33,28815749120,29,70,106647,6291,16
1787591568,33.68,0,0,2.5,2.8,86.6,301.1,182.7,81.3,9826,1,2862,2031,2380,809070,111753,36933,1970,1202,0,2,123191,446441197,30,106916,33,28006944768,26,70,108125,6167,16
1787591755,39.10,0,0,18.1,2.8,68.5,367.0,156.4,64.6,10013,30,3866,3574,6483,843756,111914,36933,1998,1223,0,1,63206,234832355,41,108632,33,21702184960,21,70,109866,6283,16
1787591942,40.31,0,0,10.4,1.5,59.6,280.6,154.4,70.0,10199,1,3866,3574,6483,856896,111541,36933,2034,1223,0,5,279039,969531526,51,110896,33,13036744704,31,70,112163,6276,16
1787592128,42.66,0,0,5.2,1.2,67.3,420.0,218.5,68.3,10387,0,3866,3574,6483,881736,110700,36933,2116,1255,0,2,146906,520855063,47,112886,33,24222941184,31,70,114164,6227,16
1787592319,46.56,0,0,13.3,1.7,66.3,420.0,198.7,71.3,10578,0,3866,3574,6483,897247,109465,36933,2175,1269,0,6,354643,1190127010,54,115131,33,15890317312,23,70,116400,6200,16
