ts,load1,kcompactd_cpu,swap_free_mb,iowait_pct,dns,tcp,connect,query,reuse,runtime.uptime_seconds,runtime.scheduling_lag_ms,runtime.scheduling_lag_max_ms,block.journal_lock_wait.max_ms,block.journal_hold.max_ms,block.journal_hold.total_ms,section.delta_snapshot_refresh.avg_us,section.delta_snapshot_refresh.max_ms,section.delta_snapshot_refresh.count,buffered_layer.flush_completed_total,buffered_layer.flush_failed_total,buffered_layer.pressure_pct,mem_buffer.total_rows,mem_buffer.estimated_bytes_approx,mem_buffer.total_buckets,plan_cache.hits,plan_cache.misses,memory.charged_bytes,jemalloc.frag_pct,jemalloc.allocated_mb,jemalloc.resident_mb,jemalloc.retained_mb,scan.provider_cache_entries,scan.fast_resolve_cache_entries,pgwire.queries_total,maintenance.tasks_pending,maintenance.tasks_running
1787592494,35.95,0,0,7.2,2.5,58.5,344.6,133.0,65.0,10752,1,3866,3574,6483,915620,110079,36933,2228,1302,0,3,208679,675689104,33,117031,33,20983279616,,,,,23,70,118340,6201,16
1787592681,33.59,0,0,11.7,3.0,67.3,436.0,219.0,74.2,10940,1,3866,3574,6483,932140,109458,36933,2261,1302,0,7,392933,1314224418,66,119041,34,17592868864,,,,,22,70,120367,6168,16
1787592869,38.75,0,0,4.8,7.2,68.2,335.2,146.4,74.9,11126,0,3866,3574,6483,945003,107836,36933,2345,1322,0,5,308060,1043839028,58,121458,34,14776180736,,,,,26,70,122817,6132,16
1787594946,29.93,0,0,4.7,8.4,119.6,474.0,197.0,147.8,2522,0,5782,921,1552,171627,97264,1533,460,248,0,3,213635,746590931,48,29730,18,14612852736,27.5,8558,11800,142163,27,68,29735,6161,16
1787600370,37.82,0,0,4.0,1.3,70.6,246.4,140.0,58.0,5887,0,5782,921,1813,413371,101773,2544,1027,597,0,11,629215,2101062972,54,67857,33,18757541888,18.5,14153,17358,145435,21,1789,71459,6320,16
1787600555,34.12,0,0,1.2,3.4,71.6,259.3,131.5,62.4,6073,1,5782,921,1813,424600,102115,2544,1060,635,0,3,171727,656573011,47,70151,33,18938322944,19.5,9902,12306,151730,26,1789,73786,6304,16
1787600722,32.19,0,0,12.4,1.5,57.5,285.6,166.3,73.8,6242,169,5782,921,1813,431198,101779,2544,1077,649,0,6,337087,1186859443,55,72215,33,23251341312,23.2,12421,16168,148235,21,1789,75862,6303,16
1787600911,39.17,0,0,6.0,2.7,22.9,105.5,91.1,26.9,6426,1,5782,921,1813,457270,102688,2544,1116,668,0,4,222210,767659523,48,74222,33,15478022144,18.0,11597,14144,150748,27,1789,77900,6289,16
1787601094,44.37,0,0,16.3,2.9,23.7,138.9,55.9,22.0,6610,1,5782,921,1813,477977,104987,2544,1140,675,0,6,380007,1298456406,62,75642,34,21395087360,17.6,12243,14858,150435,20,1789,79323,6265,16
1787601278,35.96,0,0,1.6,2.4,16.0,122.5,60.6,29.0,6793,1,5782,921,1813,489579,103448,2544,1185,711,0,5,306523,1025466405,38,78041,34,15526617088,18.8,12330,15192,150135,27,1789,81734,6261,16
1787601461,28.69,0,0,0.3,1.4,22.4,135.6,49.2,25.9,6976,0,5782,921,1813,499309,102854,2544,1212,738,0,3,184011,627174715,49,80216,34,12255346688,16.0,9311,11088,155238,28,1789,83925,6264,16
1787601645,31.38,0,0,3.4,1.3,25.0,186.4,50.9,28.6,7160,0,5782,921,1813,507143,102275,2544,1251,738,0,7,400987,1400382668,70,82497,34,16284708864,14.2,14484,16888,149764,29,1789,86216,6478,16
1787601828,28.07,0,0,11.8,1.7,21.4,238.8,55.1,23.3,7344,1,5782,921,1813,517964,102386,2544,1271,781,0,4,244511,922829374,37,84362,34,22154063872,22.5,11582,14935,151801,17,1789,88102,6482,16
1787602012,34.02,0,0,27.9,1.5,25.2,107.4,56.9,27.3,7527,1,5782,921,1813,528453,103096,2544,1318,791,0,8,471460,1668692104,47,86568,34,17884549120,17.2,14832,17908,161598,25,1789,90294,6460,16
1787602196,35.18,0,0,24.2,1.3,23.6,266.9,86.5,25.2,7711,1,14188,921,1813,547018,103651,2544,1345,823,0,5,304331,1019292718,27,88842,34,18791133184,30.4,9555,13736,165853,24,1791,92595,6453,16
1787602380,27.04,0,0,1.5,1.8,23.8,120.5,53.7,25.7,7895,31,14188,921,1813,557884,104075,2544,1374,841,0,4,216789,785442089,49,91207,34,14932570112,21.5,9372,11940,168040,30,1791,95002,6495,16
