ts,load1,kcompactd_cpu,swap_free_mb,iowait_pct,dns,tcp,connect,query,reuse,runtime.uptime_seconds,runtime.scheduling_lag_ms,runtime.scheduling_lag_max_ms,block.journal_lock_wait.max_ms,block.journal_hold.max_ms,block.journal_hold.total_ms,section.delta_snapshot_refresh.avg_us,section.delta_snapshot_refresh.max_ms,section.delta_snapshot_refresh.count,buffered_layer.flush_completed_total,buffered_layer.flush_failed_total,buffered_layer.pressure_pct,mem_buffer.total_rows,mem_buffer.estimated_bytes_approx,mem_buffer.total_buckets,plan_cache.hits,plan_cache.misses,memory.charged_bytes,block.pgwire_startup_handler_build.max_ms,block.pgwire_simple_handler_build.max_ms,block.pgwire_simple_handler_build.avg_us,jemalloc.frag_pct,jemalloc.allocated_mb,jemalloc.resident_mb,jemalloc.retained_mb,scan.provider_cache_entries,scan.fast_resolve_cache_entries,pgwire.queries_total,maintenance.tasks_pending,maintenance.tasks_running
1787602512,23.75,0,0,0.9,3.2,21.8,159.1,58.2,24.9,8027,1,14188,921,1813,562883,103902,2544,1389,843,0,7,382502,1351625280,62,92817,34,12917755904,,,,12.6,12027,13768,166405,29,1791,96651,6459,16
1787602695,30.32,0,0,0.9,1.1,26.0,106.4,48.4,24.1,8210,1,14188,921,1813,569651,104013,2544,1421,884,0,4,230059,757717126,28,95110,34,14606934016,,,,24.6,9942,13192,166782,17,1791,98964,6475,16
1787602879,30.36,0,0,1.2,1.8,23.5,179.4,56.7,27.2,35,101,2138,0,13,1345,,,,0,0,2,48641,411175668,20,396,2,9057075200,,,,25.2,7787,10409,6809,0,13,408,6372,0
1787603062,20.82,0,0,0.9,2.8,24.1,103.4,57.0,26.8,218,1,2138,0,13,7197,106078,491,27,0,0,6,260017,1146106518,34,2534,4,17004249088,,,,14.1,19962,23226,24990,9,22,2576,6372,0
1787603245,41.30,0,0,7.3,1.4,22.6,181.3,48.6,26.3,402,1,2138,347,400,24457,214984,9073,85,20,0,3,178507,596416710,43,4737,7,25259118592,,,,21.4,19581,24904,55657,13,43,4792,6408,16
1787603429,39.41,0,0,3.7,2.1,23.2,122.4,51.2,33.2,585,0,2138,449,483,39367,190375,9073,119,31,0,7,377684,1322570910,55,6818,10,28699807744,,,,29.2,16098,22747,74053,20,54,6899,6395,16
1787603612,39.48,0,0,1.1,3.3,26.3,159.9,51.0,25.7,768,1,2383,449,712,54884,185852,9073,138,58,0,4,246764,855758236,43,9056,10,29665079296,,,,25.6,24966,33549,74961,21,55,9173,6371,16
1787603796,25.71,0,0,1.2,1.7,23.7,152.0,55.3,25.3,951,0,2383,449,712,59689,167876,9073,170,95,0,1,67594,251971179,43,10692,14,22014992384,,,,20.7,21910,27639,87854,26,55,10823,6375,16
1787603979,25.78,0,0,0.0,1.7,21.4,100.5,114.6,26.4,92,1,2813,0,3,2890,19144,19,1,0,0,7,127318,1323800597,21,1131,3,17190494208,0,2,848,12.2,20148,22960,12512,4,17,1143,6327,0
1787604162,19.28,0,0,0.3,1.2,21.9,139.9,57.6,28.4,275,64,2976,0,3,9321,64335,195,30,0,0,12,353858,2392239564,42,3581,10,19851440128,0,2,878,17.5,21041,25515,24711,10,23,3631,6327,0
